Area;Generator;Type;Capacity;Zone;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;Fraction of category for country
DE4-W_A;GNR_ST_BGAS_CND_E-38;GCND;100.1993247;2;3;1;0;0.38;0.8036;BIOGAS;12.71578864;0;0.009838538
DE4-W_A;GNR_ST_COAL_CND_E-37;GCND;0;2;3;1;0;0.37;1.96;COAL;2.572688462;94.6;0.155657584
DE4-W_A;GNR_ST_COAL_CND_E-45;GCND;0;2;3;1;0;0.45;1.96;COAL;2.572688462;94.6;0.106080182
DE4-W_A;GNR_ST_COAL_EXT_E-36;GEXT;0;2;3;1;0.75;0.36;0.7056;COAL;2.572688462;94.6;0.109821655
DE4-W_A;GNR_ST_COAL_EXT_E-43;GEXT;0;2;3;1;0.75;0.43;0.8428;COAL;2.572688462;94.6;0.176037653
DE4-W_A;GNR_ST_FUELOIL_CND_E-39;GCND;36.28581457;2;3;1;0;0.39;0.8036;FUELOIL;8.763766511;74;0.006938616
DE4-W_A;GNR_ST_LIGN_CND_E-32;GCND;0;2;3;1;0;0.32;1.96;LIGNITE;0.883939334;111.1;0.22745495
DE4-W_A;GNR_ST_LIGN_CND_E-41;GCND;0;2;3;1;0;0.41;1.96;LIGNITE;0.883939334;111.1;0.217583034
DE4-W_A;GNR_ST_LIGN_EXT_E-34;GEXT;0;2;3;1;0.75;0.34;0.6664;LIGNITE;0.883939334;111.1;0.102677945
DE4-W_A;GNR_ST_LIGN_EXT_E-40;GEXT;0;2;3;1;0.75;0.4;0.784;LIGNITE;0.883939334;111.1;0.054521037
DE4-W_A;GNR_ST_MSW_CND_E-33;GCND;236;2;3;1;0;0.33;24.304;MUNIWASTE;-3.259066353;35;0.123449831
DE4-W_A;GNR_ST_NGAS_CND_E-36;GCND;3226.208754;2;3;1;0;0.36;0.8036;NATGAS;7.64658528;56.1;0.088883315
