Area;Generator;Type;Capacity;Zone;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;EE;Electrical capacity;Fraction of category - for Poland coal and lignite is in the same category
DK1_Rural;GNR_ENG_BGAS_BP_E-41;GBPR;3.153766161;3;6;1;0.82;0.91;3.2144;BIOGAS;12.71578864;0;0.41;1.420927611;0.003794432
DK1_Rural;GNR_ENG_BGAS_BP_E-42;GBPR;17.85352297;3;6;1;0.82;0.932195122;3.2928;BIOGAS;12.71578864;0;0.42;8.043894966;0.021480343
DK1_Rural;GNR_ENG_BGAS_BP_E-43;GBPR;8.124956199;3;6;1;0.82;0.954390244;3.3712;BIOGAS;12.71578864;0;0.43;3.660694551;0.009775485
DK1_Rural;GNR_ENG_LIGHTOIL_BP_E-35;GBPR;7.22698895;3;6;1;0.9;0.738888889;1.8522;LIGHTOIL;13.27018506;74;0.35;3.423310555;0.028935976
DK1_Rural;GNR_ENG_LIGHTOIL_BP_E-37;GBPR;45.5243402;3;6;1;0.9;0.781111111;1.95804;LIGHTOIL;13.27018506;74;0.37;21.56416115;0.182273866
DK1_Rural;GNR_ENG_NGAS_BP_E-33;GBPR;0;3;6;1;0.9;0.696666667;1.74636;NATGAS;7.64658528;56.1;0.33;0;0
DK1_Rural;GNR_ENG_NGAS_BP_E-34;GBPR;6.141757776;3;6;1;0.9;0.717777778;1.79928;NATGAS;7.64658528;56.1;0.34;2.909253683;0.005645668
DK1_Rural;GNR_ENG_NGAS_BP_E-36;GBPR;11.10665249;3;6;1;0.9;0.76;1.90512;NATGAS;7.64658528;56.1;0.36;5.261045916;0.010209532
DK1_Rural;GNR_ENG_NGAS_BP_E-37;GBPR;34.46004397;3;6;1;0.9;0.781111111;1.95804;NATGAS;7.64658528;56.1;0.37;16.32317872;0.031676594
DK1_Rural;GNR_ENG_NGAS_BP_E-38;GBPR;18.02072787;3;6;1;0.9;0.802222222;2.01096;NATGAS;7.64658528;56.1;0.38;8.536134256;0.016565135
DK1_Rural;GNR_ENG_NGAS_BP_E-39;GBPR;0;3;6;1;0.9;0.823333333;2.06388;NATGAS;7.64658528;56.1;0.39;0;0
DK1_Rural;GNR_ENG_NGAS_BP_E-40;GBPR;32.36375596;3;6;1;0.9;0.844444444;2.1168;NATGAS;7.64658528;56.1;0.4;15.33020019;0.02974963
DK1_Rural;GNR_ENG_NGAS_BP_E-41;GBPR;114.1557932;3;6;1;0.9;0.865555556;2.16972;NATGAS;7.64658528;56.1;0.41;54.07379676;0.104935058
DK1_Rural;GNR_ENG_NGAS_BP_E-42;GBPR;168.2253319;3;6;1;0.9;0.886666667;2.22264;NATGAS;7.64658528;56.1;0.42;79.68568352;0.154637224
DK1_Rural;GNR_ENG_NGAS_BP_E-43;GBPR;91.87628906;3;6;1;0.9;0.907777778;2.27556;NATGAS;7.64658528;56.1;0.43;43.52034745;0.084455142
DK1_Rural;GNR_ENG_NGAS_BP_E-44;GBPR;143.3935043;3;6;1;0.9;0.928888889;2.32848;NATGAS;7.64658528;56.1;0.44;67.92323888;0.131811144
DK1_Rural;GNR_ENG_NGAS_BP_E-45;GBPR;18.75626783;3;6;1;0.9;0.95;2.3814;NATGAS;7.64658528;56.1;0.45;8.88454792;0.017241263
DK1_Rural;GNR_ENG_NGAS_BP_E-46;GBPR;22.32363576;3;6;1;0.9;0.971111111;2.43432;NATGAS;7.64658528;56.1;0.46;10.57435378;0.020520483
DK1_Rural;GNR_ENG_NGAS_BP_E-47;GBPR;0;3;6;1;0.9;0.992222222;2.48724;NATGAS;7.64658528;56.1;0.47;0;0
DK1_Rural;GNR_GT_NGAS_BP_E-28;GBPR;13.4603797;3;6;1;0.95;0.574736842;1.2348;NATGAS;7.64658528;56.1;0.28;6.55762088;0.012373141
DK1_Rural;GNR_GT_NGAS_BP_E-30;GBPR;23.16950649;3;6;1;0.95;0.615789474;1.323;NATGAS;7.64658528;56.1;0.3;11.28770829;0.02129803
DK1_Rural;GNR_GT_NGAS_BP_E-41;GBPR;0;3;6;1;0.95;0.841578947;1.8081;NATGAS;7.64658528;56.1;0.41;0;0
DK1_Rural;GNR_ST_STRW_BP_E-26;GBPR;6.147170683;3;6;1;0.444656474;0.844721049;0.2548;STRAW;6.162678302;0;0.26;1.892061739;0.007395926
DK1_Rural;GNR_ST_WOODCHI_BP_E-17;GBPR;2.004512179;3;6;1;0.34;0.67;0.63308;WOODCHIPS;6.2;0;0.17;0.508607568;0.002411715
DK1_Rural;GNR_ST_WOODCHI_BP_E-27;GBPR;0;3;6;1;0.34;1.064117647;1.00548;WOODCHIPS;6.2;0;0.27;0;0
DK1_Small;GNR_ENG_NGAS_BP_E-38;GBPR;4.155800543;3;6;1;0.9;0.802222222;2.01096;NATGAS;7.64658528;56.1;0.38;1.968537099;0.003820123
DK1_Small;GNR_ENG_NGAS_BP_E-39;GBPR;0;3;6;1;0.9;0.823333333;2.06388;NATGAS;7.64658528;56.1;0.39;0;0
DK1_Small;GNR_ENG_NGAS_BP_E-41;GBPR;0;3;6;1;0.9;0.865555556;2.16972;NATGAS;7.64658528;56.1;0.41;0;0
DK1_Small;GNR_ENG_NGAS_BP_E-42;GBPR;0;3;6;1;0.9;0.886666667;2.22264;NATGAS;7.64658528;56.1;0.42;0;0
DK1_Small;GNR_ST_MSW_BP_E-20;GBPR;0;3;6;1;0.295760708;0.876222345;4.8608;MUNIWASTE;-3.259066353;35;0.2;0;0
DK1_Small;GNR_ST_WOODCHI_BP_E-15;GBPR;0;3;6;1;0.34;0.591176471;0.5586;WOODCHIPS;6.2;0;0.15;0;0
PL_A;BIAL-1_ST_STRAW_BP;GBPR;19.51218256;6;9;1;0.4;0.91;0.2548;STRAW;6.162678302;0;0.26;5.574909302;0.024653313
PL_A;BIEL-4_ST_COAL_BP;GBPR;27.81679642;6;9;1;0.45;0.902222222;0.5488;COAL;2.572688462;94.6;0.28;8.632798889;0.001460736
PL_A;CHOR2-1_ST_COAL_BP;GBPR;157.628513;6;9;1;0.6;0.906666667;0.6664;COAL;2.572688462;94.6;0.34;59.11069238;0.008277504
PL_A;GDAN2-1_ST_COAL_BP;GBPR;427.1037283;6;9;1;0.45;0.902222222;0.5488;COAL;2.572688462;94.6;0.28;132.5494329;0.022428385
PL_A;GNR_ST_COAL_BP_E-15;GBPR;394.0712826;6;9;1;0.2;0.9;0.294;COAL;2.572688462;94.6;0.15;65.67854711;0.020693761
PL_A;GNR_ST_FUELOIL_BP_E-15;GBPR;503.3582536;6;9;1;0.2;0.9;0.12054;FUELOIL;8.763766511;74;0.15;83.89304226;1
PL_A;GNR_ST_STRAW_BP_E-15;GBPR;12.49999223;6;9;1;0.2;0.9;0.147;STRAW;6.162678302;0;0.15;2.083332039;0.015793529
PL_A;GNR_ST_WOODWST_BP_E-53;GBPR;38.10973159;6;9;1;0.13;1.06;0.208595787;WOODWASTE;0.650553327;0;0.121946903;4.384305405;0.048151002
